,Dates,Open,High,Low,Close,Volume
0,2017-09-08 00:00:00,148.5,151.5,148.5,149.75,10661
1,2017-09-07 00:00:00,149.25,151.0,147.25,148.5,16255
2,2017-09-06 00:00:00,147.5,152.0,147.0,149.25,12593
3,2017-09-04 00:00:00,150.0,151.0,148.75,149.0,207123
4,2017-09-01 00:00:00,153.0,153.0,150.0,152.0,176347
5,2017-08-31 00:00:00,151.5,156.5,151.0,155.5,14914
6,2017-08-30 00:00:00,151.0,154.0,148.25,154.0,11386
7,2017-08-29 00:00:00,151.5,151.5,148.0,150.5,11242
8,2017-08-28 00:00:00,151.0,153.0,150.5,151.0,2555
9,2017-08-25 00:00:00,152.0,152.0,150.5,151.0,45842
10,2017-08-24 00:00:00,150.0,150.5,149.5,150.0,3775
11,2017-08-23 00:00:00,150.5,151.5,149.5,149.75,8177
12,2017-08-22 00:00:00,148.5,151.0,148.5,150.5,5634
13,2017-08-21 00:00:00,150.5,150.5,146.5,147.5,11417
14,2017-08-18 00:00:00,153.5,153.5,150.0,150.5,6135
15,2017-08-17 00:00:00,156.0,156.0,154.0,154.0,2456
16,2017-08-16 00:00:00,155.5,157.5,154.0,157.5,7033
17,2017-08-15 00:00:00,156.0,156.0,153.0,154.0,10983
18,2017-08-14 00:00:00,156.0,157.0,153.5,156.0,11326
19,2017-08-11 00:00:00,158.0,158.0,156.0,157.0,9151
20,2017-08-10 00:00:00,156.5,158.5,155.0,158.0,11576
21,2017-08-09 00:00:00,159.5,159.5,155.0,156.0,5665
22,2017-08-08 00:00:00,158.5,160.0,157.5,159.5,9104
23,2017-08-07 00:00:00,158.0,160.0,157.5,158.0,8133
24,2017-08-04 00:00:00,158.0,160.0,157.5,158.0,7157
25,2017-08-03 00:00:00,154.5,158.5,154.5,156.0,4155
26,2017-08-02 00:00:00,160.0,160.0,156.0,156.5,6002
27,2017-08-01 00:00:00,157.5,159.0,156.0,158.5,81007
28,2017-07-31 00:00:00,156.5,158.5,155.5,157.5,7761
29,2017-07-28 00:00:00,159.0,159.0,155.0,156.0,6054
30,2017-07-27 00:00:00,157.0,160.0,156.0,159.0,9785
31,2017-07-26 00:00:00,156.0,158.0,155.5,156.5,6981
